"9E_5139"	"0.2788844621513944_58.885714285714286"
"9E_5146"	"0.32413793103448274_73.76595744680851"
"9E_5153"	"0.30798479087452474_50.2962962962963"
"9E_5160"	"0.3875432525951557_39.035714285714285"
"9E_5167"	"0.35864978902953587_56.44705882352941"
"9E_5174"	"0.3605769230769231_62.666666666666664"
"9E_5181"	"0.2852664576802508_40.56043956043956"
"9E_5188"	"0.32525951557093424_39.09574468085106"
"9E_5195"	"0.34944237918215615_50.797872340425535"
"9E_5202"	"0.329608938547486_39.59322033898305"
"9E_5209"	"0.2564102564102564_77.85"
"9E_5216"	"0.3670886075949367_40.86206896551724"
"9E_5223"	"0.3623693379790941_55.75"
"9E_5230"	"0.3037383177570093_63.47692307692308"
"9E_5237"	"0.32950191570881227_59.593023255813954"
"9E_5244"	"0.3333333333333333_74.74285714285715"
"9E_5251"	"0.3952702702702703_44.78632478632478"
"9E_5258"	"0.30454545454545456_47.25373134328358"
"9E_5265"	"0.3013698630136986_46.60227272727273"
"9E_5272"	"0.24705882352941178_53.111111111111114"
"9E_5279"	"0.3274647887323944_47.344086021505376"
"9E_5286"	"0.28865979381443296_64.13095238095238"
"9E_5293"	"0.367816091954023_56.552083333333336"
"9E_5300"	"0.32081911262798635_39.12765957446808"
"9E_5307"	"0.2868525896414343_40.05555555555556"
"9E_5314"	"0.31475409836065577_60.34375"
"9E_5321"	"0.33183856502242154_102.13513513513513"
"9E_5328"	"0.3784860557768924_54.95789473684211"
"9E_5335"	"0.3102189781021898_35.62352941176471"
"9E_5342"	"0.3261802575107296_62.31578947368421"
"9E_5349"	"0.38235294117647056_26.576923076923077"
"9E_5356"	"0.4230769230769231_24.818181818181817"
"9E_5363"	"0.43902439024390244_39.125"
"9E_5370"	"0.34806629834254144_52.22222222222222"
"9E_5377"	"0.29767441860465116_32.6875"
"9E_5384"	"0.26573426573426573_70.07894736842105"
"9E_5391"	"0.2303370786516854_54.26829268292683"
"9E_5398"	"0.2732919254658385_65.93181818181819"
"9E_5405"	"0.35119047619047616_49.79661016949152"
"9E_5412"	"0.33175355450236965_36.285714285714285"
"9E_5419"	"0.3888888888888889_66.33333333333333"
"9E_5426"	"0.38613861386138615_36.53846153846154"
"9E_5433"	"0.3132530120481928_42.65384615384615"
"9E_5440"	"0.3522012578616352_35.32142857142857"
"9E_5447"	"0.3375796178343949_54.75471698113208"
"9E_5454"	"0.2839506172839506_37.52173913043478"
"9E_5461"	"0.358974358974359_53.67857142857143"
"9E_5468"	"0.30851063829787234_35.44827586206897"
"9E_5475"	"0.33516483516483514_54.557377049180324"
"9E_5482"	"0.4166666666666667_45.36666666666667"
"9E_5489"	"0.25925925925925924_70.0"
"9E_5496"	"0.59375_44.94736842105263"
"9E_5503"	"0.1794871794871795_191.14285714285714"
"9E_5510"	"0.21052631578947367_45.333333333333336"
"9E_5517"	"0.47058823529411764_39.875"
"9E_5524"	"0.4318181818181818_26.63157894736842"
"9E_5531"	"0.5789473684210527_44.63636363636363"
"9E_5538"	"0.5833333333333334_27.571428571428573"
"9E_5545"	"0.14285714285714285_8.666666666666666"
"AA_10"	"0.2619047619047619_31.665188470066518"
"AA_1002"	"0.43491735537190085_33.858669833729216"
"AA_1009"	"0.36382464618570937_38.17172675521822"
"AA_1016"	"0.35490605427974947_25.541176470588237"
"AA_1023"	"0.4585432890517636_36.05994005994006"
"AA_1030"	"0.39558011049723757_29.393854748603353"
"AA_1037"	"0.5493345571363011_49.2890559732665"
"AA_104"	"0.543010752688172_57.92475247524752"
"AA_1044"	"0.36096491228070177_35.62332928311057"
"AA_1051"	"0.4119772844605059_40.709273182957396"
"AA_1058"	"0.33413461538461536_34.931654676258994"
"AA_1065"	"0.3522677234698371_34.55625"
"AA_1072"	"0.43138219380226267_34.2497149372862"
"AA_1079"	"0.44524441076165217_34.257021276595744"
"AA_1086"	"0.4751054852320675_31.507104795737124"
"AA_1093"	"0.3833887043189369_28.08318890814558"
"AA_1100"	"0.2743966421825813_40.476099426386234"
"AA_1107"	"0.2955433932759969_27.013227513227513"
"AA_111"	"0.3758480325644505_35.06678700361011"
"AA_1114"	"0.3238095238095238_35.65735294117647"
"AA_1121"	"0.42738359201773835_39.80804150453956"
"AA_1128"	"0.43283582089552236_22.951724137931034"
"AA_1135"	"0.3707995365005794_44.178125"
"AA_1142"	"0.3947909527073338_38.451388888888886"
"AA_1149"	"0.40625_40.028490028490026"
"AA_1156"	"0.4954829742876998_41.915848527349226"
"AA_1163"	"0.41938365341670386_35.19701810436635"
"AA_1170"	"0.475_33.25336597307221"
"AA_1177"	"0.43478260869565216_36.425"
"AA_118"	"0.226468910439247_26.03274559193955"
"AA_1184"	"0.3857918105574741_34.22762148337596"
"AA_1191"	"0.3305084745762712_32.89592760180995"
"AA_1198"	"0.3932766302146618_39.4994850669413"
"AA_1205"	"0.38099630996309963_35.17554479418886"
"AA_1212"	"0.44554455445544555_36.28194444444444"
"AA_1219"	"0.30544412607449856_40.56285178236398"
"AA_1226"	"0.4333810888252149_38.13719008264463"
"AA_1233"	"0.35686918445539134_32.53680981595092"
"AA_1240"	"0.2717842323651452_32.87175572519084"
"AA_1247"	"0.40867279894875164_35.633440514469456"
"AA_125"	"0.40971766250820746_36.18910256410256"
"AA_1254"	"0.40008745080892_29.079781420765027"
"AA_1261"	"0.3837316176470588_39.82874251497006"
"AA_1268"	"0.40771637122002086_33.95524296675192"
"AA_1275"	"0.33208020050125314_43.46037735849057"
"AA_1282"	"0.3185035389282103_37.84920634920635"
"AA_1289"	"0.3587939698492462_31.106442577030812"
"AA_1296"	"0.333889816360601_35.8875"
"AA_1303"	"1.0_4.0"
"AA_1310"	"0.35282176207876575_40.407364787111625"
"AA_1317"	"0.3335684062059238_39.501057082452434"
"AA_132"	"0.4326530612244898_39.79599056603774"
"AA_1324"	"0.34134615384615385_42.86619718309859"
"AA_1331"	"0.394169835234474_31.05144694533762"
"AA_1338"	"0.38721804511278196_47.95145631067961"
"AA_1345"	"0.3421487603305785_33.14734299516908"
"AA_1352"	"0.43122886133032695_29.265359477124182"
"AA_1359"	"0.4610143830431491_29.904761904761905"
"AA_1366"	"0.38733205374280233_33.98216055500495"
"AA_1373"	"0.3980517299294592_44.10464135021097"
"AA_1380"	"0.3634361233480176_37.64090909090909"
"AA_1387"	"0.3703334992533599_36.07258064516129"
"AA_139"	"0.34294271808311494_37.669213973799124"
"AA_1394"	"0.33662822624931354_32.97389885807504"
"AA_1401"	"0.4493192133131619_45.362514029180694"
"AA_1408"	"0.5048322910744741_39.314189189189186"
"AA_1415"	"0.33925850685627224_34.82035928143713"
"AA_1422"	"0.4649321266968326_36.12043795620438"
"AA_1429"	"0.291497975708502_26.47222222222222"
"AA_1436"	"0.3959731543624161_27.364406779661017"
"AA_1443"	"0.2569832402234637_35.26086956521739"
"AA_1450"	"0.402104032729398_30.138081395348838"
"AA_1457"	"0.3742156303479749_32.1234756097561"
"AA_146"	"0.3801308744794765_28.954616588419405"
"AA_1464"	"0.5022050716648291_35.99451152579583"
"AA_1471"	"0.3910386965376782_33.865885416666664"
"AA_1478"	"0.4339622641509434_47.37577639751553"
"AA_1485"	"0.5301115241635688_35.76577840112202"
"AA_1492"	"0.45034013605442175_36.99496475327291"
"AA_1499"	"0.3380205516495403_31.008"
"AA_1506"	"0.38509316770186336_40.72004608294931"
"AA_1513"	"0.408355795148248_40.31188118811881"
"AA_1520"	"0.2914798206278027_21.369230769230768"
"AA_1527"	"0.41865844255975326_33.48618784530387"
"AA_153"	"0.2943283582089552_29.939148073022313"
"AA_1534"	"0.37959927140255006_41.00767754318618"
"AA_1541"	"0.3125940792774711_34.91011235955056"
"AA_1548"	"0.32786885245901637_32.25"
"AA_1555"	"0.35209086215797625_37.752199413489734"
"AA_1562"	"0.3797590361445783_42.18527918781726"
"AA_1569"	"0.4254766031195841_34.43991853360489"
"AA_1576"	"0.3545505304299274_44.74488188976378"
"AA_1583"	"0.36739210623386204_36.1636546184739"
"AA_1590"	"0.3609112709832134_36.60963455149502"
"AA_1597"	"0.4319290465631929_29.647843942505133"
"AA_160"	"0.3129051266941662_43.31261770244821"
"AA_1604"	"0.2902364607170099_38.909329829172144"
"AA_1611"	"0.39317507418397624_36.51698113207547"
"AA_1618"	"0.4506641366223909_32.04105263157895"
"AA_1625"	"0.40477544059124504_29.058988764044944"
"AA_1632"	"0.4474497681607419_32.810017271157164"
"AA_1639"	"0.22062350119904076_26.804347826086957"
"AA_1646"	"0.36831604150039904_33.78981581798483"
"AA_1653"	"0.3235772357723577_28.871859296482413"
"AA_1660"	"0.3800557880055788_43.23853211009175"
"AA_1667"	"0.3126934984520124_32.98585572842999"
"AA_167"	"0.36952908587257616_28.154422788605697"
"AA_1674"	"0.3463276836158192_34.174551386623165"
"AA_1681"	"0.3856416772554003_32.24876441515651"
"AA_1688"	"0.37584425903853796_35.91754756871036"
"AA_1695"	"0.3019648397104447_30.705479452054796"
"AA_17"	"0.2534031413612565_32.34297520661157"
"AA_1702"	"0.375_32.83534136546185"
"AA_1709"	"0.26224918338777414_26.01423487544484"
"AA_1716"	"0.3450502152080344_26.81081081081081"
"AA_1723"	"0.3297331639135959_30.28131021194605"
